Date,close,high,low,open,volume,rsi,macd,macd_sig,ema_20,ema_50,bb_upper,bb_lower,bb_width,return,label,ticker
2019-03-14,19.33066749572754,19.69266700744629,19.21933364868164,19.496667861938477,106551000,46.13059724075338,-0.41123637589983275,-0.4123261690828972,19.55115923877833,20.114469967606357,21.219141180398765,18.00685884248942,0.1661754483449328,-0.05011042604829263,0,TSLA
2019-03-15,18.36199951171875,18.9146671295166,18.293333053588867,18.900667190551758,221782500,38.9322521408445,-0.45566786765278877,-0.4209945087968755,19.43790593143932,20.045745636002923,21.18451658565705,17.852550064733578,0.18145989595506687,-0.021566273770704303,0,TSLA
2019-03-18,17.965999603271484,18.536666870117188,17.81999969482422,18.399999618530273,154215000,36.42958747176616,-0.5168758055387528,-0.440170768145251,19.29772437637572,19.964186968052672,21.119537786037355,17.661595484226318,0.1924714671139907,-0.007495627621330492,0,TSLA
2019-03-19,17.83133316040039,18.219999313354492,17.56399917602539,17.833332061767578,177009000,35.591690279331914,-0.5696830422819907,-0.46607322297259896,19.158068070092355,19.880545642262387,21.056825504689268,17.469841136546084,0.20116187252387366,0.02291845522943481,1,TSLA
2019-03-20,18.239999771118164,18.33133316040039,17.753332138061523,17.979333877563477,103623000,40.09463534498776,-0.5719639335502649,-0.48725136508813216,19.070632993999578,19.816210510060653,20.962386355774242,17.37121349774138,0.1968844793364114,0.0015350810461096653,1,TSLA
2019-03-21,18.26799964904785,18.43000030517578,17.89666748046875,18.17333221435547,89206500,40.40207335711606,-0.5649992406230382,-0.5028009401951133,18.994191723051795,19.755496358648386,20.94251307169488,17.27635346730659,0.20068752325487235,-0.03463255713040714,0,TSLA
2019-03-22,17.635332107543945,18.18666648864746,17.600000381469727,18.172000885009766,131184000,35.91675715685986,-0.603573040180386,-0.5229553601921679,18.864776521574857,19.672352662526645,20.93144281692924,17.08622361831246,0.218040645629344,-0.015536892576059724,0,TSLA
2019-03-25,17.3613338470459,17.545333862304688,16.964000701904297,17.31399917602539,153225000,34.148606242366355,-0.648773763859861,-0.5481190409257066,18.721591504953054,19.581724473684265,20.883147929276163,16.87885196391231,0.2306444885307703,0.028223624718877183,1,TSLA
2019-03-26,17.851333618164062,18.017332077026367,17.6286678314209,17.62933349609375,110263500,39.85131393527553,-0.6377057022219894,-0.5660363731849632,18.63870980144934,19.513866008761905,20.77813683466533,16.78326319737813,0.22378572507447517,0.026365922874079573,1,TSLA
2019-03-27,18.32200050354004,18.357999801635742,17.8786678314209,17.916667938232422,131688000,44.79652682492421,-0.584220766182586,-0.5696732517844878,18.608547011172266,19.467126185027716,20.377207291928773,16.918125998171323,0.1887938652271684,0.013790332193247767,1,TSLA
2019-03-28,18.57466697692871,18.68866729736328,18.34000015258789,18.477333068847656,101611500,47.30134957712346,-0.5155030974348698,-0.5588392209145643,18.60532034124431,19.432127784710108,19.72780983186463,17.292456891768186,0.13111152642043894,0.004450491478388496,1,TSLA
2019-03-29,18.657333374023438,18.67733383178711,18.299999237060547,18.579999923706055,89869500,48.13060412352588,-0.4491953184775639,-0.5369104404271642,18.61027396341375,19.401743690173376,19.56312983482744,17.357603617015823,0.11821229613029083,0.03330240519756256,1,TSLA
2019-04-01,19.278667449951172,19.280000686645508,18.75200080871582,18.841333389282227,121656000,53.990821102425826,-0.34256063297002726,-0.49804047893573683,18.673930485941124,19.396917170948974,19.60704215368622,17.33915802636749,0.11763697533588995,-0.011411640419352831,0,TSLA
2019-04-02,19.058666229248047,19.29599952697754,18.92533302307129,19.219999313354492,82183500,51.76090280648517,-0.2726610692470466,-0.4529645969979988,18.710571985303687,19.383652428137175,19.666235835003455,17.3422308855776,0.1219395377132615,0.020743017324461155,1,TSLA
2019-04-03,19.45400047302246,19.744667053222656,19.14466667175293,19.154666900634766,118791000,55.331146429881485,-0.1832525703111756,-0.3990221916606342,18.78137469841976,19.38641117499542,19.788338628750097,17.323928102512113,0.12667885608697643,-0.08234816239503528,0,TSLA
2019-04-04,17.851999282836914,18.079999923706055,17.37266731262207,17.459333419799805,355810500,41.82297210972545,-0.2389097949168324,-0.3669997123118739,18.69286275407854,19.326238159616658,19.79614160516909,17.257391758173192,0.1422109538978459,0.02681314318395822,1,TSLA
2019-04-05,18.33066749572754,18.406667709350586,17.74066734313965,17.99066734313965,195574500,46.060298914030874,-0.24160890496227694,-0.3419215508419545,18.65836796756892,19.28719617279748,19.75341116295569,17.23892224921472,0.13717388711169626,-0.0064009870820075365,0,TSLA
2019-04-08,18.213333129882812,18.743999481201172,18.029333114624023,18.512666702270508,156156000,45.19139549145189,-0.25033022087766454,-0.3236032848490965,18.6159836973131,19.245083896604747,19.62926053146802,17.24493952651538,0.13091074477963938,-0.003257712404775681,0,TSLA
2019-04-09,18.15399932861328,18.333332061767578,17.974000930786133,18.110000610351562,88560000,44.7318555178994,-0.2590435753755749,-0.3106913429543922,18.571985186008355,19.202296266487437,19.579547988018767,17.220985306658967,0.12991972945831115,0.013771070245990558,1,TSLA
2019-04-10,18.40399932861328,18.558666229248047,18.19266700744629,18.44933319091797,105919500,47.16952369660276,-0.2429751941374647,-0.29714811319100676,18.55598653292311,19.170990504217862,19.468169050317147,17.24636418332543,0.12072402456228129,-0.027675107337592375,0,TSLA
2019-04-11,17.89466667175293,18.03333282470703,17.706666946411133,17.886667251586914,147538500,43.00762625356677,-0.26824758380999825,-0.29136800731480506,18.49300368900214,19.12093858921924,19.318317542948833,17.25261560829628,0.11543673724380132,-0.00268238221889483,0,TSLA
2019-04-12,17.84666633605957,18.1299991607666,17.788667678833008,18.014667510986328,101190000,42.62591842417042,-0.28882002319495825,-0.2908584104908357,18.43144775062666,19.07096712831102,19.30920604348874,17.210193790190463,0.11761368839272675,-0.004930856117047799,0,TSLA
2019-04-15,17.7586669921875,17.92533302307129,17.242000579833984,17.908666610717773,150579000,41.891852600798984,-0.3086665256636252,-0.2944200335253936,18.367373392680076,19.0195043778748,19.31422204349761,17.184444529073186,0.11992890656496741,0.026203202008537207,1,TSLA
2019-04-16,18.224000930786133,18.333332061767578,17.648000717163086,17.71666717529297,109093500,47.08150986879518,-0.2835775564199423,-0.2922515381043034,18.3537188724997,18.98830816426348,19.316644922196048,17.221288427413327,0.11497785270867698,-0.007791933226055425,0,TSLA
2019-04-17,18.082000732421875,18.319332122802734,17.902666091918945,18.316667556762695,76897500,45.73906086454764,-0.2720169546721003,-0.28820462141786274,18.32784095439705,18.95276669634812,19.311877604767812,17.210255840971936,0.11622728009448477,0.007484354720840525,1,TSLA
